"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PS(14:0/18:1(9Z))","PS(14:0/18:1(9Z))","HMDB0012335","52926083",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"PS(14:1(9Z)/18:0)","PS(14:1(9Z)/18:0)","HMDB0012345","52925229",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(16:0/16:1(9Z))","PS(16:0/16:1(9Z))","HMDB0012355","52926017",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PS(16:1(9Z)/16:0)","PS(16:1(9Z)/16:0)","HMDB0012365","52925317",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(18:0/14:1(9Z))","PS(18:0/14:1(9Z))","HMDB0012375","52925419",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCC","1"
"PS(18:1(9Z)/14:0)","PS(18:1(9Z)/14:0)","HMDB0012385","52925991",NA,"CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PE(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0008847","52924936","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","PE(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008878","53479567","C00350","CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","PE(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0008879","53479568","C00350","CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","PE(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0008972","52924236","C00350","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","PE(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0009096","52924367","C00350","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PE(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))","PE(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))","HMDB0009127","52924394","C00350","CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
