ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
53,111.0447752,7473.058687,0.000374286,HMDB01164,100,C6H8O2,-H(+),"trans-1,2-Dihydrobenzene-1,2-diol"
54,112.0399707,6954.092141,0.000427781,HMDB01301,100,C5H7NO2,-H(+),1-Pyrroline-5-carboxylic acid
54,112.0399707,6954.092141,0.000427781,HMDB06875,100,C5H7NO2,-H(+),1-Pyrroline-2-carboxylic acid
55,112.0513217,13735.2971,0.000310159,HMDB00562,100,C4H7N3O,-H(+),Creatinine
56,113.0353156,23921.72746,0.000331866,HMDB00076,100,C4H6N2O2,-H(+),Dihydrouracil
56,113.0353156,23921.72746,0.000331866,HMDB03646,100,C4H6N2O2,-H(+),N-Methylhydantoin
57,113.0602855,5162.040775,0.000514075,HMDB00453,100,C6H10O2,-H(+),Delta-Hexanolactone
57,113.0602855,5162.040775,0.000514075,HMDB03843,100,C6H10O2,-H(+),Gamma-Caprolactone
57,113.0602855,5162.040775,0.000514075,HMDB10719,100,C6H10O2,-H(+),trans-Hex-2-enoic acid
58,114.0556895,179458.5432,0.000359023,HMDB00162,100,C5H9NO2,-H(+),L-Proline
58,114.0556895,179458.5432,0.000359023,HMDB03411,100,C5H9NO2,-H(+),D-Proline
58,114.0556895,179458.5432,0.000359023,HMDB12880,100,C5H9NO2,-H(+),Acetamidopropanal
59,115.0034108,57513.18506,0.000267837,HMDB00134,100,C4H4O4,-H(+),Fumaric acid
59,115.0034108,57513.18506,0.000267837,HMDB00176,100,C4H4O4,-H(+),Maleic acid
60,115.0397857,10303.0208,0.000278376,HMDB00019,100,C5H8O3,-H(+),Alpha-ketoisovaleric acid
60,115.0397857,10303.0208,0.000278376,HMDB00310,100,C5H8O3,-H(+),Methylacetoacetic acid
60,115.0397857,10303.0208,0.000278376,HMDB00720,100,C5H8O3,-H(+),Levulinic acid
60,115.0397857,10303.0208,0.000278376,HMDB01865,100,C5H8O3,-H(+),2-Oxovaleric acid
60,115.0397857,10303.0208,0.000278376,HMDB03771,100,C5H8O3,-H(+),2-Methylacetoacetic acid
60,115.0397857,10303.0208,0.000278376,HMDB12233,100,C5H8O3,-H(+),Glutarate semialdehyde
61,115.0760837,36531.31498,0.000365957,HMDB00535,100,C6H12O2,-H(+),Caproic acid
61,115.0760837,36531.31498,0.000365957,HMDB00689,100,C6H12O2,-H(+),Isocaproic acid
62,116.0171761,3130.430051,0.000378739,HMDB02287,100,C4H7NOS,-H(+),Homocysteine thiolactone
63,116.0349571,3728.961084,0.000355998,HMDB00532,100,C4H7NO3,-H(+),Acetylglycine
63,116.0349571,3728.961084,0.000355998,HMDB06454,100,C4H7NO3,-H(+),L-2-Amino-3-oxobutanoic acid
63,116.0349571,3728.961084,0.000355998,HMDB12249,100,C4H7NO3,-H(+),L-Aspartate-semialdehyde
64,116.0714114,52173.27104,0.000287165,HMDB00043,100,C5H11NO2,-H(+),Betaine
64,116.0714114,52173.27104,0.000287165,HMDB00883,100,C5H11NO2,-H(+),L-Valine
64,116.0714114,52173.27104,0.000287165,HMDB01382,100,C5H11NO2,-H(+),Vaporole
64,116.0714114,52173.27104,0.000287165,HMDB02141,100,C5H11NO2,-H(+),N-Methyl-a-aminoisobutyric acid
64,116.0714114,52173.27104,0.000287165,HMDB03355,100,C5H11NO2,-H(+),5-Aminopentanoic acid
65,117.0190991,32272.58068,0.000229533,HMDB00202,100,C4H6O4,-H(+),Methylmalonic acid
65,117.0190991,32272.58068,0.000229533,HMDB00254,100,C4H6O4,-H(+),Succinic acid
65,117.0190991,32272.58068,0.000229533,HMDB00349,100,C4H6O4,-H(+),"Erythrono-1,4-lactone"
65,117.0190991,32272.58068,0.000229533,HMDB00940,100,C4H6O4,-H(+),Threonolactone
66,117.0551503,3595.348975,0.000563885,HMDB00351,100,C5H10O3,-H(+),"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid"
66,117.0551503,3595.348975,0.000563885,HMDB00354,100,C5H10O3,-H(+),2-Methyl-3-hydroxybutyric acid
66,117.0551503,3595.348975,0.000563885,HMDB00396,100,C5H10O3,-H(+),2-Ethylhydracrylic acid
66,117.0551503,3595.348975,0.000563885,HMDB00407,100,C5H10O3,-H(+),2-Hydroxy-3-methylbutyric acid
66,117.0551503,3595.348975,0.000563885,HMDB00410,100,C5H10O3,-H(+),"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid"
66,117.0551503,3595.348975,0.000563885,HMDB00531,100,C5H10O3,-H(+),3-Hydroxyvaleric acid
66,117.0551503,3595.348975,0.000563885,HMDB00642,100,C5H10O3,-H(+),Erythronilic acid
66,117.0551503,3595.348975,0.000563885,HMDB00754,100,C5H10O3,-H(+),3-Hydroxyisovaleric acid
66,117.0551503,3595.348975,0.000563885,HMDB01863,100,C5H10O3,-H(+),2-Hydroxyvaleric acid
66,117.0551503,3595.348975,0.000563885,HMDB01987,100,C5H10O3,-H(+),2-Hydroxy-2-methylbutyric acid
66,117.0551503,3595.348975,0.000563885,HMDB02011,100,C5H10O3,-H(+),4-Hydroxyisovaleric acid
67,118.0506882,19730.61871,0.000274951,HMDB00167,100,C4H9NO3,-H(+),L-Threonine
67,118.0506882,19730.61871,0.000274951,HMDB00719,100,C4H9NO3,-H(+),L-Homoserine
67,118.0506882,19730.61871,0.000274951,HMDB04041,100,C4H9NO3,-H(+),L-Allothreonine
68,119.0357068,11938.88683,-0.000728034,HMDB00337,100,C4H8O4,-H(+),"(S)-3,4-Dihydroxybutyric acid"
68,119.0357068,11938.88683,-0.000728034,HMDB00360,100,C4H8O4,-H(+),"2,4-Dihydroxybutanoic acid"
68,119.0357068,11938.88683,-0.000728034,HMDB00498,100,C4H8O4,-H(+),4-Deoxyerythronic acid
68,119.0357068,11938.88683,-0.000728034,HMDB02453,100,C4H8O4,-H(+),4-Deoxythreonic acid
68,119.0357068,11938.88683,-0.000728034,HMDB02601,100,C4H8O4,-H(+),"A,b-Dihydroxyisobutyric acid"
68,119.0357068,11938.88683,-0.000728034,HMDB02649,100,C4H8O4,-H(+),Erythrose
68,119.0357068,11938.88683,-0.000728034,HMDB06293,100,C4H8O4,-H(+),L-Erythrulose
68,119.0357068,11938.88683,0.000609378,HMDB01366,100,C5H4N4,-H(+),Purine
69,119.0499201,43492.22059,0.000314773,HMDB04072,100,C8H8O,-H(+),4-Hydroxystyrene
69,119.0499201,43492.22059,0.000314773,HMDB06236,100,C8H8O,-H(+),Phenylacetaldehyde
70,120.0120673,1264.042715,0.000402149,HMDB00574,100,C3H7NO2S,-H(+),L-Cysteine
70,120.0120673,1264.042715,0.000402149,HMDB03417,100,C3H7NO2S,-H(+),D-Cysteine
71,120.0451826,3333.359673,0.000301286,HMDB04461,100,C7H7NO,-H(+),Benzamide
72,121.0297678,61591.19588,-0.000268414,HMDB01870,100,C7H6O2,-H(+),Benzoic acid
72,121.0297678,61591.19588,-0.000268414,HMDB11718,100,C7H6O2,-H(+),4-Hydroxybenzaldehyde
73,122.0247297,5654.995841,1.86649E-05,HMDB01488,100,C6H5NO2,-H(+),Nicotinic acid
73,122.0247297,5654.995841,1.86649E-05,HMDB02243,100,C6H5NO2,-H(+),Picolinic acid
74,123.0448765,5240.976649,0.000272969,HMDB00873,100,C7H8O2,-H(+),4-Methylcatechol
