"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PG(18:3(6Z,9Z,12Z)/16:0)","PG(18:3(6Z,9Z,12Z)/16:0)","HMDB0010660","52926637",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](CO)O","1"
"PG(18:3(9Z,12Z,15Z)/16:0)","PG(18:3(9Z,12Z,15Z)/16:0)","HMDB0010675","52927218",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@H](CO)O","1"
"cis-5,6-Dihydro-5,6-dihydroxy-carotene","cis-5,6-Dihydro-5,6-dihydroxy-carotene","HMDB0002746","53477757",NA,"CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C\C=C(/C)\C=C\C=C(/C)\C=C\C(C(C)(CCC=C(C)C)O)O)/C)/C)/C)C","1"
"3-O-Sulfogalactosylceramide (d18:1/24:0)","3-O-Sulfogalactosylceramide (d18:1/24:0)","HMDB0000024","6451121","C06125","CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OS(=O)(=O)O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"Dihydroneopterin phosphate","Dihydroneopterin phosphate","HMDB0006824","24771767","C05925","C1C(=NC2=C(N1)NC(=NC2=O)N)[C@@H]([C@@H](COP(=O)(O)O)O)O","1"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","C1=CNC(=C1)C(=O)O","1"
"PIP(16:0/18:1(11Z))","PIP(16:0/18:1(11Z))","HMDB0009924","53480122","C00626","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1C([C@@H](C(C(C1O)O)O)OP(=O)(O)O)O)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"PIP(16:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PIP(18:0/16:1(9Z))","PIP(18:0/16:1(9Z))","HMDB0009947","53480142","C00626","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1C([C@@H](C(C(C1O)O)O)OP(=O)(O)O)O)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PIP(18:1(11Z)/16:0)","PIP(18:1(11Z)/16:0)","HMDB0009958","53480153","C00626","CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)(O)O[C@@H]1C([C@@H](C(C(C1O)O)O)OP(=O)(O)O)O","1"
"PIP(18:1(9Z)/16:0)","PIP(18:1(9Z)/16:0)","HMDB0009970","53480165","C00626","CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)O[C@@H]1C([C@@H](C(C(C1O)O)O)OP(=O)(O)O)O","1"
"Tetracosapentaenoic acid (24:5n-6)","Tetracosapentaenoic acid (24:5n-6)","HMDB0006322","14505435",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O","1"
"Tetracosapentaenoic acid (24:5n-3)","Tetracosapentaenoic acid (24:5n-3)","HMDB0006323","52921801",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"DG(14:0/20:3(5Z,8Z,11Z)/0:0)","DG(14:0/20:3(5Z,8Z,11Z)/0:0)","HMDB0007023","53477958",NA,"CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC","1"
